onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0008	2.0	neutral	female	NorthEuropean	F01
12.0018	2.0	neutral	female	NorthEuropean	F01
19.0028	2.0	neutral	female	NorthEuropean	F01
26.0098	2.0	joy	female	Mediterranean	F09
33.0108	2.0	joy	female	NorthEuropean	F02
40.0118	2.0	contempt	female	Mediterranean	F09
47.0128	2.0	contempt	female	NorthEuropean	F04
54.0138	2.0	anger	female	NorthEuropean	F01
61.0148	2.0	pride	female	NorthEuropean	F03
68.0158	2.0	pride	female	NorthEuropean	F02
75.0168	2.0	contempt	female	NorthEuropean	F02
82.0178	2.0	neutral	female	Mediterranean	F06
89.0188	2.0	contempt	female	NorthEuropean	F01
96.0198	2.0	neutral	female	NorthEuropean	F04
103.0208	2.0	joy	female	Mediterranean	F06
110.0218	2.0	neutral	female	Mediterranean	F09
117.0228	2.0	pride	female	Mediterranean	F06
124.0238	2.0	joy	female	NorthEuropean	F03
131.0248	2.0	pride	female	Mediterranean	F09
138.0258	2.0	anger	female	NorthEuropean	F04
145.0268	2.0	contempt	female	Mediterranean	F06
152.0278	2.0	contempt	female	NorthEuropean	F03
159.0288	2.0	pride	female	NorthEuropean	F04
166.0298	2.0	joy	female	NorthEuropean	F01
173.0308	2.0	neutral	female	NorthEuropean	F03
180.0318	2.0	joy	female	NorthEuropean	F04
187.0328	2.0	neutral	female	NorthEuropean	F01
194.0338	2.0	anger	female	NorthEuropean	F03
201.0348	2.0	anger	female	Mediterranean	F06
208.0358	2.0	neutral	female	NorthEuropean	F02
215.0368	2.0	pride	female	NorthEuropean	F01
222.0378	2.0	anger	female	NorthEuropean	F02
229.0388	2.0	anger	female	Mediterranean	F09
