onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0011	2.0	pride	female	NorthEuropean	F01
12.0021	2.0	pride	female	NorthEuropean	F01
19.0031	2.0	pride	female	NorthEuropean	F01
26.0141	2.0	contempt	female	NorthEuropean	F02
33.0151	2.0	contempt	female	NorthEuropean	F03
40.0161	2.0	pride	female	NorthEuropean	F01
47.0171	2.0	joy	female	NorthEuropean	F03
54.0181	2.0	pride	female	Mediterranean	F06
61.0191	2.0	joy	female	NorthEuropean	F04
68.0201	2.0	joy	female	Mediterranean	F06
75.0211	2.0	contempt	female	Mediterranean	F09
82.0221	2.0	contempt	female	NorthEuropean	F04
89.0231	2.0	contempt	female	Mediterranean	F06
96.0241	2.0	neutral	female	NorthEuropean	F03
103.0251	2.0	pride	female	Mediterranean	F09
110.0261	2.0	pride	female	NorthEuropean	F03
117.0271	2.0	joy	female	Mediterranean	F09
124.0281	2.0	joy	female	NorthEuropean	F02
131.0291	2.0	pride	female	NorthEuropean	F02
138.0301	2.0	anger	female	Mediterranean	F09
145.0311	2.0	neutral	female	Mediterranean	F09
152.0321	2.0	neutral	female	NorthEuropean	F02
159.0331	2.0	neutral	female	NorthEuropean	F04
166.0341	2.0	anger	female	NorthEuropean	F02
173.0351	2.0	pride	female	NorthEuropean	F04
180.0361	2.0	contempt	female	NorthEuropean	F01
187.0371	2.0	anger	female	NorthEuropean	F01
194.0381	2.0	joy	female	NorthEuropean	F01
201.0391	2.0	anger	female	Mediterranean	F06
208.0401	2.0	neutral	female	Mediterranean	F06
215.0411	2.0	anger	female	NorthEuropean	F04
222.0421	2.0	anger	female	NorthEuropean	F03
229.0431	2.0	neutral	female	NorthEuropean	F01
