onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0009	2.0	anger	female	NorthEuropean	F01
12.0019	2.0	anger	female	NorthEuropean	F01
19.0029	2.0	anger	female	NorthEuropean	F01
26.0079	2.0	contempt	female	Mediterranean	F06
33.0089	2.0	anger	female	NorthEuropean	F01
40.0099	2.0	neutral	female	NorthEuropean	F04
47.0109	2.0	contempt	female	Mediterranean	F09
54.0119	2.0	pride	female	Mediterranean	F06
61.0129	2.0	joy	female	NorthEuropean	F02
68.0139	2.0	pride	female	NorthEuropean	F03
75.0149	2.0	joy	female	NorthEuropean	F01
82.0159	2.0	pride	female	Mediterranean	F09
89.0169	2.0	joy	female	NorthEuropean	F04
96.0179	2.0	joy	female	Mediterranean	F09
103.0189	2.0	contempt	female	NorthEuropean	F04
110.0199	2.0	anger	female	Mediterranean	F06
117.0209	2.0	pride	female	NorthEuropean	F01
124.0219	2.0	contempt	female	NorthEuropean	F03
131.0229	2.0	anger	female	NorthEuropean	F04
138.0239	2.0	contempt	female	NorthEuropean	F01
145.0249	2.0	anger	female	Mediterranean	F09
152.0259	2.0	pride	female	NorthEuropean	F04
159.0269	2.0	joy	female	Mediterranean	F06
166.0279	2.0	contempt	female	NorthEuropean	F02
173.0289	2.0	anger	female	NorthEuropean	F02
180.0299	2.0	neutral	female	Mediterranean	F06
187.0309	2.0	neutral	female	NorthEuropean	F01
194.0319	2.0	neutral	female	NorthEuropean	F02
201.0329	2.0	anger	female	NorthEuropean	F03
208.0339	2.0	neutral	female	NorthEuropean	F03
215.0349	2.0	joy	female	NorthEuropean	F03
222.0359	2.0	pride	female	NorthEuropean	F02
229.0369	2.0	neutral	female	Mediterranean	F09
