onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0007	2.0	joy	female	NorthEuropean	F01
12.0017	2.0	joy	female	NorthEuropean	F01
19.0027	2.0	joy	female	NorthEuropean	F01
26.0097	2.0	neutral	female	NorthEuropean	F02
33.0107	2.0	anger	female	NorthEuropean	F02
40.0117	2.0	contempt	female	NorthEuropean	F03
47.0127	2.0	anger	female	NorthEuropean	F04
54.0137	2.0	pride	female	NorthEuropean	F03
61.0147	2.0	pride	female	Mediterranean	F06
68.0157	2.0	anger	female	Mediterranean	F06
75.0167	2.0	pride	female	Mediterranean	F09
82.0177	2.0	contempt	female	NorthEuropean	F02
89.0187	2.0	neutral	female	NorthEuropean	F04
96.0197	2.0	pride	female	NorthEuropean	F02
103.0207	2.0	pride	female	NorthEuropean	F04
110.0217	2.0	contempt	female	NorthEuropean	F04
117.0227	2.0	neutral	female	Mediterranean	F09
124.0237	2.0	anger	female	NorthEuropean	F03
131.0247	2.0	contempt	female	Mediterranean	F06
138.0257	2.0	joy	female	Mediterranean	F06
145.0267	2.0	joy	female	Mediterranean	F09
152.0277	2.0	contempt	female	Mediterranean	F09
159.0287	2.0	anger	female	Mediterranean	F09
166.0297	2.0	neutral	female	Mediterranean	F06
173.0307	2.0	anger	female	NorthEuropean	F01
180.0317	2.0	neutral	female	NorthEuropean	F03
187.0327	2.0	contempt	female	NorthEuropean	F01
194.0337	2.0	joy	female	NorthEuropean	F01
201.0347	2.0	joy	female	NorthEuropean	F02
208.0357	2.0	pride	female	NorthEuropean	F01
215.0367	2.0	neutral	female	NorthEuropean	F01
222.0377	2.0	joy	female	NorthEuropean	F04
229.0387	2.0	joy	female	NorthEuropean	F03
